1000 513
676 207 422
339 532 693
353 96 378
246 360 517
466 706 713
523 245 266
97 223 531
208 305 330
615 527 620
444 447 665
449 647 703
121 381 672
642 419 527
416 63 534
288 71 597
375 595 690
464 5 39
349 705 711
462 195 411
530 319 507
89 688 713
3 585 604
482 117 605
226 382 655
176 372 562
667 68 85
408 480 582
697 438 477
695 410 670
496 670 703
39 287 663
557 111 455
449 411 484
163 310 681
710 30 271
171 324 620
491 230 344
668 141 388
708 373 704
540 646 675
3 697 703
646 652 683
608 98 359
297 538 681
134 521 671
184 136 505
35 255 318
694 96 290
478 452 533
218 383 627
485 321 359
415 280 330
683 74 695
594 358 533
269 109 689
515 94 365
233 114 539
666 662 677
281 414 587
296 148 149
487 278 313
233 646 669
491 179 193
364 100 438
565 64 348
645 493 615
303 558 711
108 413 590
290 45 434
136 437 596
241 133 194
600 594 640
83 459 693
635 224 236
206 693 695
542 224 349
231 356 622
189 232 650
122 43 503
188 326 488
699 433 613
65 522 539
669 422 706
533 83 136
442 363 674
710 474 587
230 433 648
368 229 316
226 222 338
278 336 548
532 578 666
536 628 670
526 605 607
704 432 611
649 267 360
614 109 711
194 522 599
524 57 90
327 152 234
685 443 493
351 479 498
155 693 701
550 534 686
493 559 687
293 457 569
156 51 412
638 659 708
82 46 437
94 611 654
455 630 680
6 469 656
294 126 447
112 697 700
185 100 142
356 698 703
647 589 655
244 394 541
215 144 356
87 232 597
595 285 536
159 284 536
319 341 644
493 214 302
607 670 709
503 79 237
583 514 627
259 420 484
528 233 571
431 425 660
428 317 640
148 223 464
51 373 376
244 103 160
435 135 542
38 475 603
606 547 555
279 370 690
181 21 242
28 120 541
659 41 302
361 475 630
348 215 326
85 566 668
261 534 669
702 111 583
602 10 637
599 131 378
234 494 563
362 549 621
554 412 652
366 492 576
271 233 322
84 638 712
407 481 523
61 334 698
124 456 685
366 89 341
239 255 399
182 53 165
367 116 712
589 490 549
699 694 713
454 631 688
251 655 657
36 285 547
290 550 552
665 679 710
10 643 657
310 387 594
416 639 668
217 257 656
643 518 678
350 710 712
85 130 541
358 479 538
105 320 654
68 603 695
655 649 688
496 385 507
704 711 713
663 621 648
23 358 615
66 47 609
609 692 699
430 86 135
212 122 408
568 29 678
316 260 662
101 576 628
301 256 510
17 235 247
63 182 423
508 649 714
242 30 157
532 696 707
382 621 674
521 406 604
565 685 686
67 386 603
575 578 589
354 464 495
355 369 559
491 399 620
4 164 627
585 327 416
145 523 613
705 110 173
291 258 706
391 613 677
637 17 24
345 429 554
319 206 230
664 463 644
174 359 704
262 147 349
42 5 439
52 708 714
222 173 591
446 551 667
332 406 562
333 208 472
79 26 319
469 482 624
57 190 458
384 505 566
597 229 264
152 46 499
405 60 254
198 248 340
433 697 707
539 284 371
521 636 693
517 223 550
675 229 295
150 178 621
639 522 558
174 150 246
595 0 149
712 73 407
494 324 552
546 396 652
516 671 708
52 77 573
460 395 565
626 504 545
94 308 527
400 157 661
545 11 417
47 613 680
95 186 339
558 100 517
46 196 415
461 312 504
72 574 662
414 611 646
420 405 554
58 414 484
387 699 708
74 486 520
679 24 252
102 472 629
533 625 654
501 431 605
182 539 677
109 626 673
666 141 459
202 484 679
488 311 494
204 453 562
692 153 621
196 425 581
487 515 607
315 540 709
673 606 661
567 416 684
166 477 677
378 632 678
141 407 560
654 140 565
678 651 660
160 358 619
374 16 636
129 177 680
576 45 614
505 42 596
424 452 473
510 549 583
